ID,TIMESTAMP,OBJID,UTM_X,UTM_Y,UTM_ANGLE,V,ACC,ACC_LAT,ACC_TAN,CLASS,WIDTH,LENGTH,TRAILER_ID
1,0,49767,618165.71,5806284.37,0.365285307179586,8.31,0.096,-0.0112,-0.0954,Car,2.0,4.4931,
2,0.033367,49767,618165.97,5806284.47,0.361685307179586,8.31,0.0761,-0.0124,-0.075,Car,2.0,4.4931,
3,0.066733,49767,618166.24,5806284.56,0.358585307179586,8.31,0.0492,-0.0132,-0.0474,Car,2.0,4.4931,
4,0.1001,49767,618166.5,5806284.66,0.355985307179586,8.31,0.0251,-0.014,0.0208,Car,2.0,4.4931,
5,0.133467,49767,618166.76,5806284.75,0.353885307179587,8.31,0.1306,-0.0147,0.1297,Car,2.0,4.4931,
6,0.166833,49767,618167.03,5806284.84,0.351985307179587,8.31,0.2464,-0.0156,0.246,Car,2.0,4.4931,
7,0.2002,49767,618167.29,5806284.94,0.350485307179587,8.32,0.3622,-0.0163,0.3619,Car,2.0,4.4931,
8,0.233567,49767,618167.55,5806285.03,0.349185307179586,8.34,0.485,-0.0171,0.4847,Car,2.0,4.4931,
9,0.266933,49767,618167.81,5806285.12,0.348185307179587,8.36,0.6076,-0.0177,0.6073,Car,2.0,4.4931,
10,0.3003,49767,618168.07,5806285.21,0.347285307179586,8.38,0.7304,-0.0185,0.7301,Car,2.0,4.4931,
11,0.333667,49767,618168.33,5806285.31,0.346485307179586,8.41,0.8461,-0.0189,0.8459,Car,2.0,4.4931,
12,0.367033,49767,618168.59,5806285.4,0.345885307179587,8.43,0.9392,-0.0191,0.939,Car,2.0,4.4931,
13,0.4004,49767,618168.85,5806285.49,0.345385307179586,8.47,1.06,-0.0197,1.0598,Car,2.0,4.4931,
14,0.433767,49767,618169.11,5806285.58,0.344985307179586,8.51,1.1736,-0.0199,1.1734,Car,2.0,4.4931,
15,0.467133,49767,618169.37,5806285.68,0.344585307179586,8.55,1.2803,-0.0202,1.2802,Car,2.0,4.4931,
16,0.5005,49767,618169.63,5806285.77,0.344285307179586,8.45,0.6433,-0.0158,0.6431,Car,2.0,4.4931,
17,0.533867,49767,618169.89,5806285.86,0.344085307179586,8.48,0.7125,-0.0165,0.7123,Car,2.0,4.4931,
18,0.567233,49767,618170.15,5806285.96,0.343885307179586,8.5,0.7676,-0.0169,0.7675,Car,2.0,4.4931,
19,0.6006,49767,618170.41,5806286.05,0.343785307179586,8.53,0.8264,-0.0174,0.8262,Car,2.0,4.4931,
20,0.633967,49767,618170.68,5806286.14,0.343685307179586,8.56,0.8884,-0.0177,0.8883,Car,2.0,4.4931,
21,0.667333,49767,618170.94,5806286.24,0.343585307179586,8.59,0.9684,-0.018,0.9682,Car,2.0,4.4931,
22,0.7007,49767,618171.21,5806286.33,0.343485307179586,8.62,1.06,-0.0183,1.0598,Car,2.0,4.4931,
23,0.734067,49767,618171.48,5806286.43,0.343485307179586,8.66,1.1338,-0.0185,1.1337,Car,2.0,4.4931,
24,0.767433,49767,618171.74,5806286.53,0.343485307179586,8.7,1.1867,-0.0186,1.1865,Car,2.0,4.4931,
25,0.8008,49767,618172.01,5806286.62,0.343485307179586,8.74,1.2183,-0.0187,1.2182,Car,2.0,4.4931,
26,0.834167,49767,618172.29,5806286.72,0.343485307179586,8.78,1.2466,-0.0188,1.2464,Car,2.0,4.4931,
27,0.867533,49767,618172.56,5806286.82,0.343485307179586,8.82,1.2888,-0.0187,1.2887,Car,2.0,4.4931,
28,0.9009,49767,618172.84,5806286.92,0.343585307179586,8.86,1.3275,-0.0186,1.3273,Car,2.0,4.4931,
29,0.934267,49767,618173.11,5806287.02,0.343585307179586,8.91,1.3452,-0.0186,1.3451,Car,2.0,4.4931,
30,0.967633,49767,618173.39,5806287.12,0.343585307179586,8.95,1.3416,-0.0184,1.3415,Car,2.0,4.4931,
31,1.001,49767,618173.67,5806287.22,0.343685307179586,9.0,1.3346,-0.0181,1.3345,Car,2.0,4.4931,
32,1.034367,49767,618173.96,5806287.32,0.343785307179586,9.04,1.3416,-0.0179,1.3415,Car,2.0,4.4931,
33,1.067733,49767,618174.24,5806287.42,0.343785307179586,9.09,1.3452,-0.0176,1.3451,Car,2.0,4.4931,
34,1.1011,49767,618174.53,5806287.52,0.343885307179586,9.13,1.3275,-0.0172,1.3274,Car,2.0,4.4931,
35,1.134467,49767,618174.82,5806287.63,0.343885307179586,9.18,1.2888,-0.0168,1.2887,Car,2.0,4.4931,
36,1.167833,49767,618175.11,5806287.73,0.343985307179587,9.22,1.2465,-0.0164,1.2464,Car,2.0,4.4931,
37,1.2012,49767,618175.41,5806287.84,0.344085307179586,9.26,1.2183,-0.0158,1.2182,Car,2.0,4.4931,
38,1.234567,49767,618175.7,5806287.94,0.344085307179586,9.3,1.1866,-0.0154,1.1865,Car,2.0,4.4931,
39,1.267933,49767,618176.0,5806288.05,0.344185307179586,9.34,1.1338,-0.0148,1.1337,Car,2.0,4.4931,
40,1.3013,49767,618176.3,5806288.16,0.344285307179586,9.38,1.0598,-0.0141,1.0597,Car,2.0,4.4931,
41,1.334667,49767,618176.6,5806288.26,0.344285307179586,9.41,1.0036,-0.0131,1.0035,Car,2.0,4.4931,
42,1.368033,49767,618176.9,5806288.37,0.344385307179587,9.44,0.9122,-0.0126,0.9122,Car,2.0,4.4931,
43,1.4014,49767,618177.2,5806288.48,0.344485307179586,9.47,0.8501,-0.012,0.85,Car,2.0,4.4931,
44,1.434767,49767,618177.5,5806288.59,0.344485307179586,9.5,0.7913,-0.0114,0.7912,Car,2.0,4.4931,
45,1.468133,49767,618177.8,5806288.7,0.344585307179586,9.52,0.7362,-0.0108,0.7362,Car,2.0,4.4931,
46,1.5015,49767,618178.11,5806288.81,0.344585307179586,9.55,0.6669,-0.0101,0.6669,Car,2.0,4.4931,
47,1.534867,49767,618178.41,5806288.92,0.344685307179586,9.57,0.6128,-0.0097,0.6128,Car,2.0,4.4931,
48,1.568233,49767,618178.72,5806289.03,0.344685307179586,9.58,0.56,-0.0093,0.5599,Car,2.0,4.4931,
49,1.6016,49767,618179.02,5806289.14,0.344685307179586,9.6,0.5112,-0.009,0.5111,Car,2.0,4.4931,
50,1.634967,49767,618179.33,5806289.25,0.344785307179587,9.61,0.4667,-0.0085,0.4666,Car,2.0,4.4931,
51,1.668333,49767,618179.63,5806289.36,0.344785307179587,9.63,0.4274,-0.0082,0.4273,Car,2.0,4.4931,
52,1.7017,49767,618179.94,5806289.47,0.344885307179586,9.64,0.3759,-0.0077,0.3758,Car,2.0,4.4931,
53,1.735067,49767,618180.24,5806289.58,0.344885307179586,9.65,0.3142,-0.0073,0.3141,Car,2.0,4.4931,
54,1.768433,49767,618180.55,5806289.69,0.344885307179586,9.66,0.2615,-0.007,0.2614,Car,2.0,4.4931,
55,1.8018,49767,618180.86,5806289.79,0.344885307179586,9.67,0.2188,-0.0066,0.2187,Car,2.0,4.4931,
56,1.835167,49767,618181.16,5806289.9,0.344985307179586,9.68,0.1876,-0.0062,0.1875,Car,2.0,4.4931,
57,1.868533,49767,618181.46,5806290.01,0.344985307179586,9.68,0.1424,-0.0058,0.1423,Car,2.0,4.4931,
58,1.9019,49767,618181.77,5806290.12,0.344985307179586,9.69,0.0809,-0.0053,0.0807,Car,2.0,4.4931,
59,1.935267,49767,618182.07,5806290.23,0.344985307179586,9.69,0.0312,-0.0051,0.0308,Car,2.0,4.4931,
60,1.968633,49767,618182.37,5806290.34,0.344985307179586,9.69,0.0076,-0.0046,-0.0061,Car,2.0,4.4931,
61,2.002,49767,618182.68,5806290.45,0.344985307179586,9.7,0.0273,-0.0042,-0.027,Car,2.0,4.4931,
62,0,49768,618156.33,5806278.75,0.728585307179587,6.55,0.5459,0.5449,0.0325,Car,2.1078,4.4557,
63,0.033367,49768,618156.51,5806278.88,0.719385307179587,6.55,0.615,0.6137,0.0397,Car,2.1078,4.4557,
64,0.066733,49768,618156.68,5806279.02,0.711285307179586,6.55,0.6827,0.6806,0.0529,Car,2.1078,4.4557,
65,0.1001,49768,618156.85,5806279.15,0.704085307179586,6.55,0.7538,0.7467,0.1033,Car,2.1078,4.4557,
66,0.133467,49768,618157.03,5806279.28,0.697785307179586,6.56,0.8341,0.8118,0.1913,Car,2.1078,4.4557,
